@relation openjpa_Train_Release_6

@attribute CyclomaticComplexity numeric
@attribute LineOfCode numeric
@attribute LineOfCodeNoComment numeric
@attribute NR numeric
@attribute Authors numeric
@attribute Age numeric
@attribute Churn numeric
@attribute MeanChurn numeric
@attribute MaxChurn numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute Buggy {false,true}

@data
1,34,5,3,1,45,34,11,31,32,31,false
14,183,92,4,1,45,191,47,175,189,175,false
25,221,143,4,1,45,229,57,212,221,212,false
1,57,7,3,1,45,73,24,52,78,52,false
1,59,8,4,1,45,67,16,55,70,55,false
4,61,26,4,2,45,71,17,61,83,61,false
1,35,5,3,1,45,35,11,32,34,32,false
80,888,665,7,2,45,996,142,869,969,869,false
1,153,48,4,1,45,161,40,147,167,147,false
27,126,80,3,1,45,126,42,121,125,121,false
1,29,5,3,1,45,29,9,26,28,26,false
49,653,461,6,2,45,681,113,612,659,612,true
1,109,66,3,1,45,109,36,105,108,105,false
2,79,30,4,1,45,80,20,75,78,75,false
36,315,227,4,2,45,315,78,299,322,299,false
2,169,68,5,2,45,171,34,154,176,154,false
1,196,130,4,2,45,196,49,188,190,188,false
34,330,215,5,2,45,340,68,317,338,317,false
78,501,381,3,1,45,503,167,474,492,474,false
1,35,5,3,1,45,35,11,32,34,32,false
1,38,6,3,1,45,38,12,35,38,35,false
13,136,82,7,2,45,150,21,129,152,129,false
1,656,113,3,1,45,674,224,652,702,652,false
1,101,21,3,1,45,101,33,97,102,97,false
654,4793,3876,11,3,45,5179,470,4565,5041,4565,false
1,75,40,3,1,45,75,25,71,74,71,false
1,42,6,3,1,45,42,14,39,43,39,false
155,1345,1140,6,3,45,1647,274,1333,1642,1333,false
16,193,131,4,1,45,217,54,187,214,187,false
15,182,121,4,1,45,204,51,176,201,176,false
48,470,377,7,3,45,554,79,447,552,447,false
73,653,534,4,1,45,792,198,649,790,649,false
43,434,327,4,1,45,511,127,429,509,429,false
9,131,78,4,1,45,141,35,125,138,125,false
4,199,130,5,3,45,199,39,194,204,194,false
92,811,606,9,4,45,833,92,768,804,768,false
1,40,6,3,1,45,40,13,37,40,37,false
19,186,147,6,2,45,196,32,173,180,173,false
63,917,749,7,3,45,945,135,901,944,901,false
7,590,444,5,2,45,591,118,583,588,583,false
1,82,45,3,1,45,85,28,79,84,79,false
1,80,45,3,1,45,82,27,76,81,76,false
1,70,37,3,1,45,73,24,67,72,67,false
1,86,49,3,1,45,89,29,83,88,83,false
2,75,41,3,1,45,78,26,71,77,71,false
47,740,489,6,2,45,756,126,627,701,627,false
1,88,17,3,1,45,92,30,85,92,85,false
28,348,254,5,2,45,366,73,328,354,328,false
1,326,55,8,3,45,352,44,312,390,312,false
74,698,559,9,3,45,708,78,410,694,410,false
177,895,710,10,2,45,909,90,822,889,822,false
1,40,5,4,1,45,40,10,37,43,37,false
1,79,42,3,1,45,82,27,76,82,76,false
2,62,23,3,1,45,64,21,58,63,58,false
61,406,270,3,1,45,408,136,385,396,385,false
23,201,142,4,1,45,214,53,187,204,187,false
1,40,6,3,1,45,40,13,37,42,37,false
1,108,16,4,1,45,108,27,103,120,103,false
24,259,197,5,2,45,267,53,237,281,237,false
1,38,14,3,1,45,38,12,34,35,34,false
18,740,552,5,2,45,750,150,728,745,728,false
1,52,18,4,1,45,52,13,48,57,48,false
5,124,57,3,1,45,124,41,119,128,119,false
